종목코드,종목명,종가,RIM비교,만능비교,RIM80,RIM90,RIM100,만능80,만능90,만능100,기관평균,배당성향_당기,배당성향_1Y,배당성향_2Y,배당성향_3Y,배당수익률_당기,배당수익률_1Y,배당수익률_2Y,배당수익률_3Y,매출액증가율_1Y,매출액증가율_2Y,매출액증가율_3Y,매출액증가율_4Y,매출액증가율_5Y,영업이익증가율_1Y,영업이익증가율_2Y,영업이익증가율_3Y,영업이익증가율_4Y,영업이익증가율_5Y,ROE_당기,ROE_4Q,ROE_1Y,ROE_2Y,ROE_3Y,ROE_4Y,ROE_5Y,ROA_당기,ROA_1Y,ROA_2Y,ROA_3Y,ROA_4Y,ROA_5Y,매출_당기,매출_4Q,매출_1Y,매출_2Y,매출_3Y,매출_4Y,매출_5Y,순이익_당기,순이익_4Q,순이익_1Y,순이익_2Y,순이익_3Y,순이익_5Y,순차입금비율_1Y,순차입금비율_2Y,순차입금비율_3Y,이자보상배율_1Y,이자보상배율_2Y,이자보상배율_3Y,잉여현금흐름_1Y,잉여현금흐름_2Y,잉여현금흐름_3Y,총현금흐름_1Y,총현금흐름_2Y,총현금흐름_3Y,총투자_1Y,총투자_2Y,총투자_3Y,영업현금_1Y,영업현금_2Y,영업현금_3Y,투자현금_1Y,투자현금_2Y,투자현금_3Y,재무현금_1Y,재무현금_2Y,재무현금_3Y,기말현금및현금성자산_1Y,기말현금및현금성자산_2Y,기말현금및현금성자산_3Y,현금및현금성자산의증가_1Y,현금및현금성자산의증가_2Y,현금및현금성자산의증가_3Y,거래량_10D평균,주가증감_1D,주가증감_5D,주가증감_10D,주가증감_30D,개인매매_최근,개인매매_5D합,개인매매_10D합,개인매매_30D합,기관매매_최근,기관매매_5D합,기관매매_10D합,기관매매_30D합,외국인매_최근,외국인매매_5D합,외국인매매_10D합,외국인매매_30D합,외국인보유율_최근,외국인보유율증감_5D,외국인보유율증감_10D,외국인보유율증감_30D,소속,업종,핵심요약,설명1,설명2
021880,메이슨캐피탈,682,,,,,,,,,,,,,,,,,,,,,,,119.2,,,,,,,-20.06,-9.3,-2.28,-20.59,8.79,,-12.07,-4.05,-0.97,-8.86,5.63,,,-24,32,87,35,114,,,-69,-37,-9,19,,,,,,,,,,,,,,,,105,122,-166,-19,-7,84,-66,-98,23,76,58,41,18,17,-29,2588085.8,6.73,22.66,19.02,56.06,-616918,-995573,-1046225,551037,0,-22517,-22660,-129730,626553,1512799,2024484,2108554,3.58,1.64,2.06,2.13,코스닥 금융,FICS  소비자 금융,"실적 부진, 이익 흑자전환","동사는 자금대출, 팩토링금융 등 부수업무 포함한 시설대여업(리스), 신기술사업금융, 할부금융업, 여신성 금융업, 기타 투자업 등을 영위하고 있음. 사업영역의 다각화를 위해 2018년 6월 28일 렌탈업 및 관련 부대사업 등을 사업목적에 추가함. 미얀마에 현지법인을 설립하여 소액대출사업을 시작함. 2020년 1월 22일 정식인가를 취득함으로써 해외금융사업을 통한 신규사업 기회를 마련할 계획.","2020년 9월 전년동기 대비 연결기준 매출액은 26.2% 감소, 영업이익 흑자전환, 당기순이익 흑자전환. 동사는 4년 연속 영업적자(별도 기준)를 기록해 관리종목으로 지정됨.  동사가 5년전 취득한 산업용 방진마스크 국내 1위 제조업체인 '도부라이프텍'의 실적이 크게 성장하면서 도부라이프텍 지분에 대해 장부가액을 증액시킬 것으로 예상. 이는 관리종목 탈피가 가능하다는 청신호로 보여짐."
334970,프레스티지바이오로직스,13900,,,,,,,,,,,,,,,,,,-100.0,,,,,,,,,,,,-226.09,-148.68,,,,,-50.73,-30.37,-54.19,-12.6,,,,0,2,0,0,0,,,-310,-221,-269,-2,,15.4,3200.9,,,,-199,-226,-357,-195,-96,-154,4,130,202,-134,-123,-104,72,-35,-400,-12,91,591,42,116,184,-73,-68,86,10781037.0,0.36,-1.07,-16.01,-2.8,-566,230255,2106159,1963157,5209,-83876,-1951472,-1781005,5951,-44704,-118495,-130940,0.0,-0.07,0.0,-0.17,코스닥 제조,FICS  제약,의약품 제조 기술 우수성 확보,동사는 바이오의약품을 생산하여 공급하는 위탁생산서비스업 및 세포배양공정과 정제공정 등의 연구로 특화된 개발서비스를 제공하는 위탁개발서비스업 을 주 사업으로 영위함. 현재 항체의약품 생산 전문제약회사로서 항체의 정제와 관련하여 Protein A를 이용하지 않는 독자적인 항체 정제방법 기술을 보유. 관계사 프레스티지바이오파마사와의 라이선스계약을 통해 HD201(허셉틴 바이오시밀러) 및 HD204(아바스틴 바이오시밀러)의 개발에 참여.,"2020년 9월 전년동기 대비 별도기준, 영업손실은 33.4% 증가, 당기순손실은 34.5% 감소. 바이오의약품 위탁서비스업체로서의 차별화 및 경쟁력확보를 위한 의약품 위탁패키징업 및 고객 맞춤형 제조환경을 제공하는 위탁엔지니어링서비스업을 신사업으로 진행 및 진행예정임. 우수의약품 제조관리기준(GMP, Good Manufacturing Practice) 인증 획득을 위한 공정 밸리데이션 (PV) 배치 생산을 한번의 실패없이 성공."
294090,이오플로우,64200,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-138.74,-195.25,,,,,-100.32,-94.92,-503.86,,,,,0,0,0,0,0,,,-196,-94,-323,-15,,,,,,,-150,-98,-74,-118,-79,-67,31,19,7,-116,-69,-67,-141,-15,-33,296,62,131,67,25,46,42,-21,31,289650.4666666667,-0.62,-14.06,-4.75,-1.53,-5518,97873,-239950,-332838,2198,2959,33477,-70518,5761,-98690,209448,407507,9.67,-0.5,0.61,3.57,코스닥 제조,FICS  의료 장비 및 서비스,의료용 웨어러블 기기 개발 업체,"동사는 2011년 9월 27일 설립되었으며, 전기화학기술과 정밀전자기계기술을 바탕으로 의료용 웨어러블 약물 주입기 및 관련 시스템, 소프트웨어 제품을 개발, 제조. 인슐린 주입이 필요한 환자를 대상으로 하는 스마트 웨어러블 인슐린 펌프 시스템, 웨어러블 인공췌장 시스템 및 센서 일체형 웨어러블 인공췌장 시스템을 주력 제품으로 함. 웨어러블 펌프 제품을 타 약물에 적용하는 신사업을 개척 중.","2020년 9월 전년동기 대비 연결기준 매출액은 3,400% 증가, 영업손실은 48.8% 증가, 당기순손실은 66.3% 증가. 일회용 웨어러블 인슐린 펌프는 상용화 단계의 제품 표준기술을 확보하였으며, 일부 상이한 규격을 보완하여 유럽(CE) 및 미국(FDA) 등으로 시장 확대 예정. 현재 분리형 웨어러블 인공췌장 솔루션은 상용화된 것이 없으며 동사 및 Insulet사가 2021년 출시를 목표로 개발 중."
284620,카이노스메드,3890,,,,,,,,,,,,,,,,,,,,-100.0,0.9,504.7,,,,,,,,-132.31,-123.85,-112.15,-89.72,-274.86,,-56.74,-116.74,-100.71,-59.59,-119.31,,,0,0,0,22,22,,,-114,-80,-79,-25,,,,,,,-98,-80,-58,-80,-77,-74,18,3,-16,-76,-69,-53,18,29,-38,258,41,83,220,38,38,181,0,-7,276162.7,-0.13,0.13,-3.71,-3.71,-1908,1091,38568,27529,-9128,-9163,-9555,-5664,1422,-3196,-53330,-130718,3.99,0.0,-0.05,-0.22,코스닥 기타서비스,FICS  제약,글로벌 개발 프로젝트 KM-819추진,"동사는 2007년 6월 15일 설립되었으며, 의약품, 신기술 연구 및 개발업 등을 주요 사업으로 영위. 2015년 9월 코넥스 시장에 상장하였으며, 2020년 6월 8일 하나금융11호스팩과 합병하여 코스닥시장에 상장함. 동사가 현재 추진중인 글로벌 개발 프로젝트인 KM-819는 FAF1 저해제로 파킨슨병 치료제로써 세포사멸과 파킨슨병의 원인 단백질로 알려진 알파시누클라인 축적을 억제하는 작용기전을 가지고 있음.","2020년 9월 전년동기 대비 연결기준, 영업손실은 7.3% 증가, 당기순손실은 61.6% 증가. 동사는 저분자유기화합물 기반으로 한 퇴행성 뇌질환, 에이즈 치료제 개발 이외에도 항암제와 B형 간염 치료제와 같은 초기 개발단계에서 전임상 후보 물질에 이르는 파이프라인을 운용하고 있음. 동사가 개발중인 KM-819는 증상완화제가 대부분인 기존의 약물과는 구별된 병의 진전을 억제하고 정제하는 근본적 치료제임."
115180,큐리언트,32700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-55.44,-79.94,-60.87,-62.74,-77.35,,-51.09,-71.25,-55.76,-58.19,-70.01,,,0,0,0,0,0,,,-205,-227,-164,-105,,,,,,,-210,-254,-142,-205,-227,-166,5,27,-24,-198,-240,-138,-391,204,-251,599,0,412,46,37,74,9,-36,23,42496.36666666667,3.81,-3.11,-4.39,-2.68,-19963,964,2898,-41094,-4,-5613,-5437,4480,20467,20408,9845,42442,1.18,0.22,0.14,0.48,코스닥 기타서비스,FICS  제약,NRDO 전문 바이오 업체,"동사는 2008년 설립된 의약품 연구개발 기업으로서 2016년 코스닥시장에 주권을 상장함. 개발단계 프로그램으로 다제내성 결핵 치료제, 아토피성 피부염 치료제, 면역항암/내성암 치료제가 있으며, 천식 치료제, 항암제를 초기 연구중임. 외부 기초연구소로부터 도입한 초기과제를 과제별, 기능별로 다양한 외부 연구기관에 위탁하여 연구개발을 수행하고 실시간으로 모니터링하는 네트워크 연구개발 사업모델을 한국 최초로 국내에 도입함.","2020년 9월 전년동기 대비 연결기준, 영업손실은 11.4% 감소, 당기순손실은 10.6% 감소. 현재 매출실적은 없으나, 올해 안에 보유중인 다수의 파이프라인을 통해 가시적인 성과를 거둬 매출이 발생할 것으로 예상됨. 글로벌 최고 수준의 기초연구소들과의 협력을 통해 신약 파이프라인을 지속적으로 확보중. 이를 통해 아토피성 피부염 치료제 Q301, 다제내성 결핵 치료제, 면역항암제 Q702 등을 파이프라인으로 보유중임."
235980,메드팩토,94300,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-37.72,-32.46,,,,,-36.43,-24.02,-226.68,,,,,0,0,0,0,,,,-254,-135,-376,,,,,,,,-265,-208,-92,-264,-124,-100,1,84,-8,-234,-152,-81,261,-459,-303,-1,610,387,27,2,3,25,-1,3,274584.6666666667,6.07,-2.68,7.77,22.15,-60904,-21173,-112161,-376483,14801,7141,103287,397204,46060,10983,7833,-25614,6.53,0.11,0.05,-0.17,코스닥 기타서비스,FICS  제약,파이프라인 임상 진행 중,"동사는 2013년 6월 설립되었으며 전문의약품, 항암제, 면역항암제 등을 개발하고 있음. 난치성 암을 치료하기 위한 항암제를 주력으로 개발하고 있으며, 저분자화합물과 항체치료제 등 다양한 기술이 적용된 형태로 개발 중. First-in-class 신약후보물질을 개발하고 임상 진행 중. 또한 동사가 개발 중인 파이프라인 중 백토서팁은 임상2상에 진행 중에 있으며 2021년부터 본격적인 기술이전 협의가 진행될 것으로 예상.","2020년 9월 전년동기 대비 별도기준 영업손실은 83.1% 증가, 당기순손실은 60.3% 증가. 동사는 신약개발 과정에 있어 제품이나 상품의 매출 및 관련 매출원가가 발생하지 않음. 판관비는 전년 동기 대비 83% 증가하였으며, 판관비 중 연구개발비가 86%를 차지. 파이프라인의 다변화를 위해 MI-S4, MPD-001 등의 후속 파이프라인 연구개발을 추진 중이며 현재 4개의 신규 타겟을 발굴하여 신약 후보물질 개발 계획 중."
323990,박셀바이오,111400,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-18.22,,,,,,-17.5,-11.25,,,,,,0,0,0,,,,,-40,-13,-64,,,,,,,,-39,-52,-26,-41,-38,-24,-2,14,2,-33,-36,-20,-200,21,-65,292,11,120,99,41,44,58,-4,35,2453581.033333333,-0.54,-9.58,-0.45,14.26,-2780,40539,-145535,-330844,259,-26393,-13545,16937,2344,2145,168963,326147,3.1,0.05,0.5,2.17,코스닥 기타서비스,FICS  제약,면역치료제 개발 경쟁력 확보,"동사는 항암면역치료제를 연구ㆍ개발하는 바이오텍 회사로 면역시스템에서 최상의 효과를 발휘할 수 있는 대표적인 구성 요소로 파이프라인을 구성함. Vax-NK 항암면역치료 플랫폼,  Vax-DC 항암면역치료 플랫폼, 차세대 첨단 CAR-T 치료제인 Vax-CAR 항암면역치료제 플랫폼을 보유하고 있음. 동물용 항암면역치료제인 박스루킨-15까지, 항암면역 전반을 아우르는 제품군을 연구개발함.","2020년 9월 전년동기 대비 별도기준, 영업손실은 0.4% 증가, 당기순손실은 1301% 증가. 중단기적인 수익사업으로 반려견용 면역항암제를 개발 및  임상시험을 완료한 상태로 출시하기 위해 품목 허가 신청 중임. 동사의 '박스루킨-15'은 임상시험 결과 안전함을 확인받고 반려견의 암 치료에 우수한 효과를 갖고 있음을 확인할 수 있었으며 2020년 4월 검역본부와 협의하여 품목허가를 신청하였으며, 현재 품목허가 결과를 대기중."
299660,셀리드,42100,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-8.37,-7.69,-283.29,,,,-8.1,-7.47,-117.69,-123.32,,,,0,0,0,0,0,,,-41,-25,-113,-18,,,,,,,-164,-76,-80,-48,-34,-23,116,42,57,-38,-19,-20,52,-371,-108,4,398,112,35,17,9,18,8,-16,113263.03333333334,4.6,7.4,12.72,11.67,-49711,-85025,-83580,-85257,542,538,1034,234,38304,68173,65422,69027,1.08,0.72,0.37,0.71,코스닥 기타서비스,FICS  바이오,임상시험 결과에 따른 수익 창출 기대,"동사는 2006년 서울대학교 약학대학 내 실험실에서 출발한 바이오벤처기업으로 항암면역치료백신을 개발하고 있음. 현재의 의학적, 기술적 한계로는 치료가 어려운 난치성 암 및 감염성 질환의 치료에 새로운 패러다임을 제시하는 면역치료백신 개발의 비전을 가지고 설립됨. 인체 내 모든 항암면역기능을 활성화시키는 기술인 셀리백스(CeliVax) 플랫폼 기술을 이용해 면역치료백신을 개발 중임.","2020년 9월 전년동기 대비 별도기준, 영업손실은 24.9% 증가, 당기순손실은 45% 증가. 동사는 연국개발 및 임상시험을 진행하고 있으므로 현재 제품이 없음. 임상시험이 성공적으로 종료시 CeliVax와  COVID-19 예방백신이 적절한 가격으로 판매될 것이라 기대하고 있음.  동사는 아데노바이러스 벡터 기반 예방백신 기술을 보유하고 있으며, 이 기술을 활용하여 COVID-19 예방백신을 개발 중에 있음."
307280,원바이오젠,2410,,,,,,,,,,,,,,,,,,,-100.0,,12.8,-10.7,,,,-85.0,38.0,,,-1.54,0.88,,3.92,20.39,,-1.33,0.35,,1.84,5.1,,,0,0,103,80,71,,,-1,0,-11,5,,,202.9,,,0.9,-1,105,,-1,0,9,-1,-106,,0,0,15,-2,,-5,,,-29,14,16,9,-2,0,-19,2058387.4666666666,-7.13,4.78,6.64,8.8,316305,562992,537120,4420822,-206274,-638356,-780096,-3685778,-30558,18588,-36274,31542,0.14,0.11,-0.19,0.08,코스닥 제조,FICS  의료 장비 및 서비스,창상피복재 산업 기술력 확보,"동사는 2006년 9월에 설립되어 상처의 보호부터 수술 부위의 상처 치료에 이르기까지 다양한 사용목적, 방법으로 세분화되어 의료현장에서 사용하는 창상피복재에 대한 개발 및 제조를 영위함. 주요 사업분야는 상처를 보호하거나 오염을 방지하고, 삼출액의 흡수, 출혈 또는 체액의 손실 등을 막아주는 창상피복재 의료용 소재사업임. 동사는 IT 융복합 의료기기 개발 및 생산과 유착방지막 개발 및 상용화에 매진하고 있음.","원바이오젠의 2020년 반기보고서 매출액은 5,592백만원이며 제품매출로 인한 매출액은 5,570 백만원, 수입임대료로 발생하는 매출액은 약 22백만원임. 2020년 반기보고서 기준 지역별 매출액은 한국 4,956백만원, 아시아 382 백만원, 유럽 254 백만원으로 구성되어 있음. 매년 해외 주요 의료기기 박람회에 참가하여 동사의 우수한 품질의 제품과 기존에 존재하지 않았던 신제품들을 해외에 알리고 꾸준한 기업홍보 중."
365550,ESR켄달스퀘어리츠,6060,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-1.12,,,,,,-0.76,,,,,,,0,0,,,,,,-14,-1,,,-99.9,-99.7,,,,,-3,-1,,-7,-1,,-4,0,,-3,-1,,-5,,,3542,45,,3578,44,,3534,44,,408442.9666666667,0.5,1.34,3.95,1.17,-57655,-317585,-622348,-192279,34858,168190,185944,484325,20063,182407,480339,-54349,25.69,0.12,0.3,-0.04,코스피 서비스업,FICS  부동산,,관련 데이터가 없습니다.,관련 데이터가 없습니다.
